,name,number_of_employees,sector,headquarters,company_website,linkedin,facebook,twitter,instagram
52,Sapio Life,43,Cuidado de la salud,Madrid,http://www.sapiolife.es,https://www.linkedin.com/company/sapiolifeespana/,,https://twitter.com/sapiolifeespana,
53,Logicalis Spain,Más de 800,Tecnologías de la Info. y de la Comunicación (TIC),Barcelona,https://www.es.logicalis.com/ ,https://www.linkedin.com/company/logicalis-spain/?trk=nav_account_sub_nav_company_admin,https://www.facebook.com/logicalisSP,https://twitter.com/LogicalisES,
54,Grunenthal,199,Farmacéutico,Madrid,http://www.grunenthal.es,https://hn.linkedin.com/company/grunenthal-esp,,,
55,Hotelatelier,520,Hostelería y turismo,Madrid,https://www.petitpalace.com/es/,https://www.linkedin.com/company/petit-palace/,https://www.facebook.com/Icon-Hotels-172147710127257/,,https://www.instagram.com/iconhotels/
56,JYSK,1191,Retail,Valencia,https://jysk.es/,https://www.linkedin.com/company/jysk/,https://www.facebook.com/JYSK.Espana,,https://www.instagram.com/jysk_espana/
57,Insight,140,Tecnologías de la Información y de la Comunicación,Madrid,https://es.insight.com/,https://www.linkedin.com/posts/insight_windows-11-ya-est%C3%A1-aqu%C3%AD-insight-es-activity-6843857758270328832-s_ru/,https://www.facebook.com/InsightEnterprisesInc,https://twitter.com/InsightIberia,https://www.instagram.com/insight_culture/
58,Novo Nordisk Pharma,314,Biotecnología y Farmacéutico,Madrid,http://WWW.NOVONORDISK.COM,https://www.linkedin.com/company/novo-nordisk/,https://es-la.facebook.com/novonordisk/,https://twitter.com/novonordisk,https://www.instagram.com/novonordisk/?hl=es-la
59,Idilia Foods,330,Gran Consumo,Barcelona,https://idilia.es/,https://es.linkedin.com/company/idilia-foods,,,
60,Truck&Wheel Automotive,13,Automoción,Pamplona,https://tw-group.com/,https://www.linkedin.com/company/truck-and-wheel-twgroup,,,
61,Sipadan,38,"Consultoría de RRHH, Suministro de Software, Desarrollos Digitales y Formación",Málaga,http://www.sipadan.es,  https://www.linkedin.com/company/sipadan-consultoria, https://www.facebook.com/sipadanconsultoria,https://twitter.com/sipadanrrhh,https://www.instagram.com/sipadanconsultoria/
62,Grupo Cooperativo Cajamar,5.500,Financiero,Almería,https://www.grupocooperativocajamar.es/es/comun/,https://www.linkedin.com/company/grupocajamar/,https://www.facebook.com/cajamar,https://twitter.com/Cajamar,https://www.instagram.com/grupo_cajamar/
63,Cívica,140,Tecnologías de la Información (TIC) | Consultoría Tecnológica,Granada,http://www.civica-soft.com,https://www.linkedin.com/company/civica-soft,,,
64,Ocean Winds,127,Energías renovables,Madrid,https://www.oceanwinds.com/,https://www.linkedin.com/company/ow-ocean-winds/,,,
65,UST,951,Servicios y consultoría IT,"Madrid, Barcelona, Bilbao, Salamanca, Valencia y Zaragoza",https://www.ust.com/es,https://es.linkedin.com/company/ustespana,,https://twitter.com/USTspain,
